Id	Tweets	Lang	Location
1225342865456402432	@Real_Anuj Bhyaa copy paste krne se phle gender to dekh lete 🤦	hi	INDIA🇮🇳
1225336065814220800	"@Real_Anuj Naqal k liye bhi Aqal ki jarurat hoti hai...

@Real_Anuj Copy Paste to dhang se maar liya kar 🤣🤣🤣🤣

Bhai… https://t.co/fJwAXfXAyH"	hi	
1225332081368002560	@relax_bhai @Iyervval @gunjakapoor Landure Tu hai kaun, kya gender etc etc...aapni baata haramke, dushro ki Identit… https://t.co/9ukidMgAym	hi	New Delhi, India
1225331170331639808	"@Real_Anuj are bhai gender change karwa liya kya?
copy karte hue gender to dekh lete"	hi	Delhi, India
1225329454739677184	"#लालू ने कहा था पलटूराम, अब #तेजप्रताप ने cm नीतीश को दिया नया नाम, बदल दिया gender
#cmnitishkumar  #लालूप्रसादयादव… https://t.co/svpwQuGhBR"	hi	patna, bihar
1225325345898807298	@DAsimforthewin @FangirlAsimriaz @Thecuteststar Mujhe to third gender lagta h😂	hi	
1225322643546628097	"Gender Minister kamun Shidhaatha Shareef Isthiufaa dhehvaifi

https://t.co/yeME6ZrKTF"	hi	Maldives
1225322466043555840	@Raj94890380 @Dr_Uditraj जातिवाद से उबा तो GENDER वाद पे ही आया,  इने सिर्फ औ सिर्फ वाद चाहिए।	hi	
1225320623179620352	@1257_Troll Ninja ki koi gender se pehchaan nahi hota bhai uske chehre pe to mask hota hai jaise bhakto ke aankho pe andh bhakti ka chashma	hi	Mumbai
1225320583858024449	RT @dharmendrawords: बहुत ख़ूब,✍️🇮🇳 #No_Gender_Discrimination	hi	
1225319033999806464	"Shidhaathaa isthiufaa dheefi, Gender Minister kamah Aishath Mohamed Didi | #Thiladhun
https://t.co/B0TXcQuPxb"	hi	Maldives
1225318777153130496	@cnm_mv Sidhathaa isthiufaa dhee @SifaMohammed  gender ministry ga harakaai therivaan fashaafi @MvCrisis	hi	
1225318644533481482	"@Thecuteststar @imrealasim @RealVinduSingh @viacom18 @ColorsTV Asmians plz iska aaj gender pta KR k hi aana 
Ek do… https://t.co/Ccl29vmr1u"	hi	
1225302515517775875	RT @dharmendrawords: बहुत ख़ूब,✍️🇮🇳 #No_Gender_Discrimination	hi	दिल्ली अयोध्या बड़हिया भारत
1225302146251231232	"ना Tinder मैच हो रहा ना Happen मैच
हो रहा है ना ही Balance Sheet मैच हो
रहा है और उपर से ये जालिम जनवरी भी
निकल गई… https://t.co/HOsz7w3X00"	hi	भोपाली/इलाहाबादी
1225301726925713408	@dhiyanasaid Ministry of Gender aai havaal vevidhaane tho	hi	
